"Title","Title_URL","Info","Content","Content1","blokobutton_URL"
"Менеджер по работе с клиентами (КАМ)","https://ekaterinburg.hh.ru/vacancy/70178568?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Определение стратегии и тактики развития по ключевым клиентам, составление с ними бизнес- планов. Вести ключевых клиентов (контроль соблюдения коммерческой политики...","Высшее образование. Опыт работы в отделе продаж с VIP-клиентами. Опыт работы в строительном сегменте приветствуется. Уверенное владение MS Оffice.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70178568&hhtmFrom=vacancy_search_list"
"Специалист по профориентационной работе","https://ekaterinburg.hh.ru/vacancy/70452402?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Липецк","Развитие бренда НЛМК в молодежной среде, повышение престижа рабочих профессий. Реализация корпоративных профориентационных программ. Проведение анализа эффективности программ, внесение корректировок.","Опыт профориентационной работы. Высшее профессиональное образование (управление персоналом, менеджмент, экономика). Знание теории поколений и понимание использования особенностей поколений при построении...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70452402&hhtmFrom=vacancy_search_list"
"Специалист по подбору персонала","https://ekaterinburg.hh.ru/vacancy/70104130?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Липецк","Реализация мероприятий по поиску и отбору кандидатов: Составление и размещение объявлений на открытые вакансии на работных сайтах, социальных сетях, внутреннем...","Высшее профессиональное образование. Опыт работы в сфере подбора персонала от 1 года. Опыт подготовки отчётов и аналитики по подбору.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70104130&hhtmFrom=vacancy_search_list"
"Руководитель проектов по развитию ОТиПБ","https://ekaterinburg.hh.ru/vacancy/70226556?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Разработка и реализация программ развития культуры безопасности и лидерства в области ОТПБ: Разработка программ и внедрение инструментов развития культуры безопасности...","Готовность к релокации в г. Липецк и командировкам. Высшее образование (""Техносферная безопасность""/техническое). Практический опыт выстраивания процессов культуры безопасности в...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70226556&hhtmFrom=vacancy_search_list"
"Специалист по внутренним коммуникациям и корпоративной культуре","https://ekaterinburg.hh.ru/vacancy/70337596?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Липецк","Формирование и развитие корпоративной культуры. Разработка и проведение мероприятий направленных на повышение уровня лояльности сотрудников. Организация корпоративных мероприятий: конкурсов, акций...","Высшее образование (Управление персоналом, связи с общественностью, маркетинг). Опыт работы 3 года и более в области нематериальной мотивации персонала или...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70337596&hhtmFrom=vacancy_search_list"
"Специалист по охране труда (по работе с подрядными организациями, г. Екатеринбург ВИЗ-Сталь)","https://ekaterinburg.hh.ru/vacancy/70468375?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Екатеринбург","Организация и контроль безопасного выполнения работ подрядными организациями на территории Предприятия. Внедрение групповых методик по управлению и взаимодействию с подрядными...","Высшее профессиональное образование по направлению тхносферная безопасность/менеджмент по ОТ/ или аналогичные доп. образование в области ОТиПБ. Опыт работы на...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70468375&hhtmFrom=vacancy_search_list"
"Руководитель отдела развития процессов управления","https://ekaterinburg.hh.ru/vacancy/70203328?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Диагностика и мониторинг процессного поля компании, непрерывная оптимизация и улучшение бизнес-процессов с целью повышения эффективности управления. Разработка и оптимизация...","Высшее профессиональное образование – инженерное /экономическое/математическое/менеджмент. Опыт работы в качестве лидера проектов (операционная эффективность) в проектных и строительных компаниях...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70203328&hhtmFrom=vacancy_search_list"
"Специалист по оформлению документов","https://ekaterinburg.hh.ru/vacancy/70078013?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Ульяновск","Составление (согласование) договоров на поставку лома черных и цветных металлов . Ведение транзитных поставок. Квалификация спец-цены на лом.","Высшее образование. Знание ПК уверенно, эксель, 1С. Высокая обучаемость. Организованность. Желание расти и развиваться. Опыт работы в коммерческих структурах.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70078013&hhtmFrom=vacancy_search_list"
"Аналитик","https://ekaterinburg.hh.ru/vacancy/70156038?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Липецк","Работа с большими массивами (базами) данных по продажам: обработка, обогащение, аналитика (с использованием современных средств аналитики). Формирование фактической аналитической отчетности...","Высшее профессиональное образование (специальность экономика, финансы, прикладная математика). От 1 года опыта работы в должности аналитика. Высокий уровень владения MS...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70156038&hhtmFrom=vacancy_search_list"
"Руководитель проектов по внедрению инструментов ОТ и ПБ","https://ekaterinburg.hh.ru/vacancy/70227165?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Разработка методологии и внедрение инструментов ОТПБ, реализация программ по снижению травматизма на предприятиях Группы НЛМК. Разрабатывать / Реализовывать мероприятия по внедрению...","Готовность к релокации в г. Липецк и командировкам. Знания в области производства/ понимание основных технологических процессов. Опыт разработки и реализации...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70227165&hhtmFrom=vacancy_search_list"
"Инженер-эколог","https://ekaterinburg.hh.ru/vacancy/70385583?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Новосибирск","1. Контроль соблюдения экологического законодательства на производственных площадках (выезд в командировки). 2. формирование и своевременная сдача статистической отчетности: 2-ТП...","Высшее образование, опыт работы от 3-х лет на промышленном предприятии, уверенный пользователь ПК.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70385583&hhtmFrom=vacancy_search_list"
"Менеджер партнерских интеграций (Аккаунт менеджер)","https://ekaterinburg.hh.ru/vacancy/70478406?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Ведение партнеров: реализация коммерческих договорённостей, понимание потребностей сторон и поиск их решения, трекинг проекта сотрудничества. Интеграция с внутренними системами участников...","Наличие успешных реализованных кейсов с интеграциями систем нескольких компаний. Высокие компетенции в коммуникациях в b2b бизнесах с крупными...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70478406&hhtmFrom=vacancy_search_list"
